x,y
616.277,630.09,0.805943
615.879,618.802,0.799466
615.45,607.32,0.793332
614.988,595.686,0.787603
614.492,583.942,0.782332
613.961,572.133,0.777565
613.392,560.299,0.77334
612.785,548.486,0.769684
612.14,536.748,0.766618
611.456,525.162,0.764154
610.741,513.85,0.762295
609.997,502.877,0.761013
609.223,492.221,0.760262
608.406,481.657,0.76
607.536,470.977,0.760226
606.605,460.036,0.760968
605.616,448.813,0.762264
604.574,437.342,0.764147
603.489,425.674,0.766635
602.365,413.861,0.769736
601.212,401.955,0.773446
600.036,390.009,0.777746
598.845,378.075,0.782608
597.646,366.206,0.78799
596.445,354.452,0.793843
595.252,342.868,0.800104
594.073,331.504,0.806704
592.915,320.413,0.813565
591.785,309.648,0.820607
590.692,299.26,0.827741
589.642,289.302,0.834878
588.643,279.826,0.841927
587.701,270.884,0.848796
586.826,262.529,0.855396
586.034,254.932,0.861541
585.317,247.974,0.867281
584.818,243.106,0.871358
584,235,0.878253
582.565,220.786,0.890637
581.131,206.573,0.903352
579.696,192.359,0.916345
578.262,178.146,0.929562
576.827,163.932,0.942947
575.393,149.719,0.956445
573.958,135.505,0.97
575.393,149.719,0.7
576.827,163.932,0.7
578.262,178.146,0.7
579.696,192.359,0.7
581.131,206.573,0.7
582.565,220.786,0.7
584,235,0.7
429,577,1
438.303,568.224,1
443.165,563.397,1
448.938,556.293,1
453.26,548.622,1
455.98,539.47,1
457.244,530.493,1
457.591,521.657,1
457.505,513.182,1
457.25,504.355,1
456.919,494.978,1
456.537,484.967,1
456.114,474.417,1
455.659,463.418,1
455.181,452.063,1
454.689,440.445,1
454.194,428.656,1
453.703,416.788,1
453.227,404.935,1
452.775,393.187,1
452.356,381.639,1
451.979,370.381,1
451.654,359.507,1
451.39,349.11,1
451.199,339.184,1
451.098,329.546,1
451.124,319.563,1
451.321,308.688,1
451.74,296.61,1
452.405,284.16,1
453.319,272.16,1
454.469,261.238,1
455.837,251.379,1
457.418,242.286,1
459.226,233.502,1
461.334,224.48,1
463.829,214.855,1
466.814,204.532,1
470.317,193.973,1
474.39,183.623,1
479.091,173.81,1
484.457,164.627,1
490.473,156.094,1
497.066,148.222,1
504.224,140.923,1
511.949,134.106,1
520.243,127.684,1
529.039,121.648,1
538.163,116.058,1
547.453,110.979,1
556.788,106.44,1
566.272,102.343,1
575.982,98.5831,1
585.926,95.0733,1
595.965,91.7984,1
605.949,88.7583,1
615.802,85.9478,1
625.701,83.3183,1
